"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"United States",1912,1341.2109,"US",41.644028421539
"others",1912,242.4595,NA,7.52826442811651
"China",1913,10.7575,"CN",0.311016833506032
"European Union (28)",1913,1642.0561,NA,47.4745144003035
"India",1913,34.4379,"IN",0.995655738842425
"Japan",1913,0,"JP",0
"Russian Federation",1913,75.6976,"RU",2.18854081859226
"Switzerland",1913,9.2553,"CH",0.267585786581304
"United States",1913,1440.1132,"US",41.6360164865665
"others",1913,246.4984,NA,7.12666993560802
"China",1914,15.1067,"CN",0.485059722578988
"European Union (28)",1914,1462.3883,NA,46.9556993321346
"India",1914,34.7127,"IN",1.11458707937323
"Japan",1914,0,"JP",0
"Russian Federation",1914,68.3168,"RU",2.19357821731313
"Switzerland",1914,8.4272,"CH",0.270588235294118
"United States",1914,1315.6984,"US",42.2456460313383
"others",1914,209.7499,NA,6.73484138196764
"China",1915,16.0886,"CN",0.523984898541964
"European Union (28)",1915,1388.1789,NA,45.2111917801795
"India",1915,36.2773,"IN",1.18150475242572
"Japan",1915,0,"JP",0
"Russian Federation",1915,62.7056,"RU",2.04224031015831
"Switzerland",1915,8.9255,"CH",0.290691993830184
"United States",1915,1365.2687,"US",44.4650361903472
"others",1915,192.9874,NA,6.28535007451719
"China",1916,17.9646,"CN",0.544778020378457
"European Union (28)",1916,1451.1393,NA,44.005922489083
"India",1916,36.684,"IN",1.11244541484716
"Japan",1916,0,"JP",0
"Russian Federation",1916,66.8311,"RU",2.02665878214459
"Switzerland",1916,8.4822,"CH",0.257223435225619
"United States",1916,1516.2585,"US",45.9806677583697
"others",1916,200.2403,NA,6.07230409995148
"China",1917,19.8516,"CN",0.566737772012205
"European Union (28)",1917,1438.6117,NA,41.0705227613236
"India",1917,38.3584,"IN",1.09508322522885
"Japan",1917,0,"JP",0
"Russian Federation",1917,61.5085,"RU",1.75598895050337
"Switzerland",1917,6.1079,"CH",0.17437272752188
"United States",1917,1668.4684,"US",47.6326373536022
"others",1917,269.8775,NA,7.70465720980797
"China",1918,21.0424,"CN",0.61356977568768
"European Union (28)",1918,1349.8763,NA,39.3606859767477
"India",1918,43.1583,"IN",1.25844145392453
"Japan",1918,0,"JP",0
"Russian Federation",1918,24.5299,"RU",0.715260865711193
"Switzerland",1918,5.7452,"CH",0.167522767140671
"United States",1918,1745.5846,"US",50.8990396278879
"others",1918,239.5673,NA,6.98547953290039
"China",1919,24.2557,"CN",0.821340627607355
"European Union (28)",1919,1142.7041,NA,38.693968950123
"India",1919,47.1264,"IN",1.59578272129336
"Japan",1919,0,"JP",0
"Russian Federation",1919,20.9522,"RU",0.709478312221656
"Switzerland",1919,4.6056,"CH",0.155953709623241
"United States",1919,1476.9511,"US",50.0121597570622
"others",1919,236.5889,NA,8.0113159220692
"China",1920,26.7692,"CN",0.783906047941226
"European Union (28)",1920,1331.0715,NA,38.9789384476264
"India",1920,38.1606,"IN",1.11749044174148
"Japan",1920,0,"JP",0
"Russian Federation",1920,19.1059,"RU",0.559494888205859
"Switzerland",1920,7.2327,"CH",0.211801520887606
"United States",1920,1736.0985,"US",50.8397006250351
"others",1920,256.4096,NA,7.50866802856232
"China",1921,25.2889,"CN",0.859525822923861
"European Union (28)",1921,1213.5585,NA,41.2467473230843
"India",1921,41.0441,"IN",1.39501772827878
"Japan",1921,0,"JP",0
